Operacao,TamanhoEntrada,TempoExecucao(ns),MemoriaUso(bytes)
I,3205,300,0
I,3210,300,0
I,3215,300,0
I,3220,300,0
I,3225,300,0
I,3230,300,0
I,3235,300,0
I,3240,300,0
I,3245,400,0
I,3250,400,0
I,3255,300,0
I,3260,300,0
I,3265,300,0
I,3270,300,0
I,3275,300,0
I,3280,300,0
I,3285,300,0
I,3290,300,0
I,3295,300,0
I,3300,300,0
I,3305,300,0
I,3310,300,0
I,3315,300,0
I,3320,300,0
I,3325,300,0
I,3330,300,0
I,3335,400,0
I,3340,300,0
I,3345,300,0
I,3350,300,0
I,3355,300,0
I,3360,300,0
I,3365,400,0
I,3370,300,0
I,3375,300,0
I,3380,300,0
I,3385,300,0
I,3390,300,0
I,3395,300,0
I,3400,300,0
I,3405,300,0
I,3410,300,0
I,3415,300,0
I,3420,300,0
I,3425,300,0
I,3430,300,0
I,3435,300,0
I,3440,300,0
I,3445,300,0
I,3450,300,0
I,3455,300,0
I,3460,300,0
I,3465,300,0
I,3470,300,0
I,3475,300,0
I,3480,300,0
I,3485,300,0
I,3490,300,0
I,3495,300,0
I,3500,400,0
I,3505,300,0
I,3510,300,0
I,3515,300,0
I,3520,300,0
I,3525,300,0
I,3530,300,0
I,3535,400,0
I,3540,300,0
I,3545,200,0
I,3550,200,0
I,3555,200,0
I,3560,300,0
I,3565,300,0
I,3570,300,0
I,3575,300,0
I,3580,200,0
I,3585,300,0
I,3590,200,0
I,3595,200,0
I,3600,200,0
I,3605,300,0
I,3610,200,0
I,3615,200,0
I,3620,200,0
I,3625,200,0
I,3630,200,0
I,3635,300,0
I,3640,300,0
I,3645,300,0
I,3650,300,0
I,3655,300,0
I,3660,300,0
I,3665,200,0
I,3670,200,0
I,3675,300,0
I,3680,300,0
I,3685,300,0
I,3690,300,0
I,3695,300,0
I,3700,300,0
I,3705,300,0
I,3710,300,0
I,3715,300,0
I,3720,300,0
I,3725,300,0
I,3730,300,0
I,3735,300,0
I,3740,300,0
I,3745,300,0
I,3750,300,0
I,3755,300,0
I,3760,300,0
I,3765,300,0
I,3770,300,0
I,3775,300,0
I,3780,300,0
I,3785,300,0
I,3790,300,0
I,3795,300,0
I,3800,300,0
I,3805,300,0
I,3810,300,0
I,3815,300,0
I,3820,300,0
I,3825,300,0
I,3830,300,0
I,3835,300,0
I,3840,300,0
I,3845,300,0
I,3850,300,0
I,3855,300,0
I,3860,300,0
I,3865,300,0
I,3870,300,0
I,3875,300,0
I,3880,300,0
I,3885,300,0
I,3890,300,0
I,3895,300,0
I,3900,300,0
I,3905,300,0
I,3910,300,0
I,3915,300,0
I,3920,300,0
I,3925,300,0
I,3930,300,0
I,3935,300,0
I,3940,300,0
I,3945,300,0
I,3950,300,0
I,3955,300,0
I,3960,300,0
I,3965,300,0
I,3970,300,0
I,3975,300,0
I,3980,300,0
I,3985,300,0
I,3990,300,0
I,3995,300,0
I,4000,300,0
I,4005,300,0
I,4010,300,0
I,4015,300,0
I,4020,300,0
I,4025,300,0
I,4030,300,0
I,4035,300,0
I,4040,300,0
I,4045,300,0
I,4050,300,0
I,4055,400,0
I,4060,300,0
I,4065,300,0
I,4070,300,0
I,4075,300,0
I,4080,300,0
I,4085,300,0
I,4090,300,0
I,4095,300,0
I,4100,300,0
I,4105,300,0
I,4110,300,0
I,4115,400,0
I,4120,300,0
I,4125,300,0
I,4130,300,0
I,4135,300,0
I,4140,300,0
I,4145,300,0
I,4150,300,0
I,4155,300,0
I,4160,300,0
I,4165,300,0
I,4170,300,0
I,4175,300,0
I,4180,300,0
I,4185,300,0
I,4190,400,0
I,4195,300,0
I,4200,300,0
I,4205,300,0
I,4210,300,0
I,4215,300,0
I,4220,300,0
I,4225,300,0
I,4230,300,0
I,4235,300,0
I,4240,300,0
I,4245,300,0
I,4250,300,0
I,4255,300,0
I,4260,300,0
I,4265,300,0
I,4270,300,0
I,4275,300,0
I,4280,300,0
I,4285,300,0
I,4290,300,0
I,4295,300,0
I,4300,300,0
I,4305,300,0
I,4310,300,0
I,4315,300,0
I,4320,300,0
I,4325,400,0
I,4330,300,0
I,4335,300,0
I,4340,300,0
I,4345,300,0
I,4350,300,0
I,4355,400,0
I,4360,300,0
I,4365,300,0
I,4370,300,0
I,4375,300,0
I,4380,400,0
I,4385,300,0
I,4390,300,0
I,4395,300,0
I,4400,400,0
I,4405,300,0
I,4410,300,0
I,4415,300,0
I,4420,300,0
I,4425,300,0
I,4430,300,0
I,4435,300,0
I,4440,300,0
I,4445,300,0
I,4450,300,0
I,4455,300,0
I,4460,300,0
I,4465,300,0
I,4470,300,0
I,4475,300,0
I,4480,300,0
I,4485,300,0
I,4490,200,0
I,4495,300,0
I,4500,300,0
I,4505,300,0
I,4510,300,0
I,4515,200,0
I,4520,300,0
I,4525,200,0
I,4530,300,0
I,4535,300,0
I,4540,300,0
I,4545,300,0
I,4550,300,0
I,4555,200,0
I,4560,300,0
I,4565,300,0
I,4570,300,0
I,4575,200,0
I,4580,300,0
I,4585,300,0
I,4590,300,0
I,4595,300,0
I,4600,300,0
I,4605,300,0
I,4610,300,0
I,4615,300,0
I,4620,200,0
I,4625,200,0
I,4630,300,0
I,4635,300,0
I,4640,300,0
I,4645,300,0
I,4650,200,0
I,4655,300,0
I,4660,300,0
I,4665,300,0
I,4670,300,0
I,4675,300,0
I,4680,300,0
I,4685,300,0
I,4690,200,0
I,4695,300,0
I,4700,300,0
I,4705,200,0
I,4710,200,0
I,4715,300,0
I,4720,300,0
I,4725,200,0
I,4730,300,0
I,4735,300,0
I,4740,300,0
I,4745,200,0
I,4750,300,0
I,4755,300,0
I,4760,300,0
I,4765,300,0
I,4770,300,0
I,4775,300,0
I,4780,300,0
I,4785,300,0
I,4790,300,0
I,4795,300,0
I,4800,200,0
I,4805,300,0
I,4810,300,0
I,4815,300,0
I,4820,300,0
I,4825,300,0
I,4830,300,0
I,4835,300,0
I,4840,300,0
I,4845,300,0
I,4850,200,0
I,4855,300,0
I,4860,300,0
I,4865,200,0
I,4870,300,0
I,4875,200,0
I,4880,300,0
I,4885,300,0
I,4890,300,0
I,4895,300,0
I,4900,300,0
I,4905,300,0
I,4910,300,0
I,4915,300,0
I,4920,300,0
I,4925,300,0
I,4930,300,0
I,4935,300,0
I,4940,300,0
I,4945,300,0
I,4950,200,0
I,4955,300,0
I,4960,300,0
I,4965,300,0
I,4970,300,0
I,4975,300,0
I,4980,300,0
I,4985,300,0
I,4990,300,0
I,4995,200,0
I,5000,300,0
I,5005,200,0
I,5010,300,0
I,5015,300,0
I,5020,300,0
I,5025,300,0
I,5030,300,0
I,5035,300,0
I,5040,300,0
I,5045,300,0
I,5050,300,0
I,5055,300,0
I,5060,300,0
I,5065,200,0
I,5070,200,0
I,5075,300,0
I,5080,300,0
I,5085,300,0
I,5090,300,0
I,5095,500,0
I,5100,400,0
I,5105,400,0
I,5110,400,0
I,5115,400,0
I,5120,400,0
I,5125,300,0
I,5130,300,0
I,5135,300,0
I,5140,300,0
I,5145,300,0
I,5150,300,0
I,5155,300,0
I,5160,300,0
I,5165,300,0
I,5170,300,0
I,5175,200,0
I,5180,300,0
I,5185,200,0
I,5190,300,0
I,5195,200,0
I,5200,300,0
I,5205,300,0
I,5210,300,0
I,5215,300,0
I,5220,300,0
I,5225,300,0
I,5230,300,0
I,5235,200,0
I,5240,300,0
